Date,t_mean,Temperature,Humidity,heater_onOff,T_set,is_sitting,T00_is_chair,T01_is_chair,T02_is_chair,PID Output,consumption
19.09.2021 22:09:42,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.10.2021 22:10:20,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.10.2021 22:10:25,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.10.2021 22:10:30,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.10.2021 22:10:35,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.10.2021 22:10:40,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.16.2021 22:16:32,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.16.2021 22:16:37,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.16.2021 22:16:42,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.16.2021 22:16:47,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.20.2021 22:20:55,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.21.2021 22:21:00,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.21.2021 22:21:05,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.21.2021 22:21:10,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.22.2021 22:22:27,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.22.2021 22:22:32,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.22.2021 22:22:37,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.22.2021 22:22:42,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.22.2021 22:22:47,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.26.2021 22:26:16,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.26.2021 22:26:21,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.26.2021 22:26:26,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.26.2021 22:26:31,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
19.26.2021 22:26:36,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
